idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
148.0,0.00406479020184986,9.38263688734016,10.8357213293872,3.29268205530649,55.0,54.25,291.0,0.26,1.9663705937857,1.7481480666353602,1.7261817466874,0.0,6.0
38.0,0.342135742305263,7.3176771931470705,18.5070974448901,4.30267824588919,47.5,46.43,365.0,0.52,2.8036184598261404,2.8153460544832902,2.883068258406729,0.0,1.0
56.0,0.112186713637342,9.072865161699,9.76140719825029,3.12778218172623,47.5,46.82,253.0,0.18,1.5352430906903702,1.4478276182664298,1.49029656042839,0.0,3.0
105.0,0.0213247113009226,9.34653538565776,6.789198409023348,2.60877401826652,52.5,51.99,208.0,0.12,1.17651919816077,1.17846879896643,1.17952191552855,0.0,5.0
214.0,0.120707500879416,6.7176848380214,11.416820180139101,3.38041314290821,60.0,59.16,351.0,0.39,2.51110960304849,2.47858003170034,2.57091124774879,0.0,1.0
147.0,0.33251962713508004,9.04530693113669,14.2280202074126,3.77235839224732,57.5,56.54,314.0,0.3,2.17407663532489,1.90297845011556,2.0590142627281,0.0,4.0
124.0,0.32347225150902903,8.53641947457263,14.2225916621332,3.77135509728281,55.0,54.59,335.0,0.34,2.33345060241941,2.18740073937396,2.32142306058173,0.0,3.0
162.0,0.54085370753251,9.28144895870399,15.260867958443901,3.90982002172773,60.0,58.88,345.0,0.37,2.61840796652173,2.3437881535784,2.54425635280464,0.0,4.0
111.0,0.5024509808294589,7.66113999708377,18.5107761398277,4.3102233548756805,52.5,51.57,357.0,0.46,2.6103899029341098,2.6096557295555898,2.69047040365089,0.0,1.0
169.0,0.168505036500769,10.0620304932715,9.24127518057294,3.0431719715634,57.5,57.01,239.0,0.16,1.35669258945725,1.36400909088403,1.3746587144396298,0.0,2.0
222.0,0.0112164083966542,7.09608838762398,10.624287351553301,3.26164460601403,60.0,59.27,334.0,0.32,2.23630155201789,2.2044676903613,2.2794677851201604,0.0,1.0
23.0,0.21250997615593,8.572352719922959,11.028942547739,3.3246879127226605,45.0,44.35,283.0,0.24,1.68750861369002,1.6891297272573105,1.70970761759703,0.0,2.0
87.0,0.308834625254567,8.232497264634,15.4696153067738,3.93554226695591,52.5,51.48,357.0,0.47,2.65165057591841,2.62684806618188,2.70345186827988,0.0,5.0
42.0,0.483575984193064,8.159824754568241,17.279031096907197,4.157524839112891,47.5,46.48,321.0,0.34,2.24969474015686,2.01807396084725,2.1724903889394502,0.0,4.0
110.0,0.44792056462223,8.36760460668585,16.066370887452198,4.01304772341377,55.0,53.87,369.0,0.52,2.9136793041908104,2.88273758552361,2.9648339267168,0.0,5.0
3.0,0.459341019365666,8.01692061074649,16.592011869063498,4.07364571869562,47.5,46.4,313.0,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0.0,7.0
94.0,0.34693446982222803,8.51484516366516,13.9704136333211,3.73809204346632,52.5,51.69,332.0,0.37,2.22553826893912,2.1987290427574098,2.25772884916039,0.0,5.0
126.0,0.00417205895245302,8.65829059925067,11.5308290427966,3.3957490734232096,55.0,54.35,298.0,0.26,1.81499963014279,1.79215906442052,1.8193743586275104,0.0,5.0
85.0,0.270192118624827,8.14721107040027,16.4062546987225,4.05042786269098,57.5,56.4,326.0,0.42,2.8949450275200497,2.22126063905705,2.10735239911064,0.0,7.0
80.0,0.4413468638531871,8.06157017544151,16.9059278345959,4.11170590966032,52.5,51.24,375.0,0.58,3.0672522016918795,3.04220256492176,3.11091977031302,0.0,5.0
156.0,0.247393300506744,8.07115992057285,14.9501268127012,3.87189640481272,55.0,54.37,305.0,0.26,1.87455649077774,1.86212293437125,1.9030198676945904,0.0,1.0
95.0,0.17847363924194395,8.49922785700099,13.5036043234915,3.67927383703098,52.5,51.72,327.0,0.35,2.151127943465,2.12531517629161,2.1969577838405003,0.0,5.0
4.0,0.4460033340100539,7.237039557634269,18.821413368660107,4.34290991427846,45.0,43.91,365.0,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0.0,1.0
146.0,0.2763383201279601,9.24092592148523,11.9982574203214,3.46695429865385,55.0,54.21,304.0,0.29,2.12211170337183,1.88411326476135,1.87062112487843,0.0,6.0
6.0,0.403147475345892,8.42554776166814,14.7024942878229,3.8344780508547514,45.0,43.89,344.0,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0.0,6.0
